"id","name","abv","ibu","target_fg","target_og","ebc","srm","ph"
"131","Motueka","6.7","67","1064","1013","19","9.5","4.4"
"155","Old World Russian Imperial Stout","9.5","80","1014","1075","195","97.5","4.5"
"259","Tropic Thunder","7","25","1020","1074","170","86.36","4.2"
"144","Tokyo*","16.2","85","1028","1157","250","127","4.4"
"20","Rabiator","10.27","26","1014","1092","24","12","4.4"
"71","Pale - Russian Doll","4","35","1010","1041","45","22.5","5.2"
"215","Brixton Porter","5","50","1014","1053","200","100","4.4"
"153","Hoppy Saison - B-Sides","6.4","40","1010","1059","8","4","5.2"
"289","Hello My Name Is Lieke","8.2","70","1009","1070","15","8","4.4"
"66","Tokyo Rising Sun - Lowland","13.2","85","1023","1125","140","71","4.4"
"18","Russian Doll – India Pale Ale","6","70","1012","1058","25","12.5","5.2"
"265","Pump Action Poet","7.5","40","1013","1070","12","6","5.2"
"300","Indie Pale Ale","4.2","30","1008","1044","16.6","8","4.6"
"146","Nelson Sauvin","7.5","75","1013","1068","30","15","4.4"
"214","Cult Lager","5.4","50","1049","1008","19","8","4.1"
"249","Hop Shot","7","250","1010","1065","15","7.5","4.4"
"280","Make Earth Great Again","7.5","35","1004","1065","9","5","4.6"
"43","American Wheat","4.5","17","1013","1047","10","5","5.3"
"298","Declassified Demi-God","14.1","70","1020","1127","90","46","4.1"
"292","Hello My Name Is Maria","8.2","70","1009","1070","15","8","4.4"
"113","Hello My Name Is Ingrid","8.2","42","1013","1078","70","35","4.4"
"38","Belgian Trappist","6.3","55","1012","1060","30","15","4.4"
"1","Buzz","4.5","60","1010","1044","20","10","4.4"
"266","Small Batch: Lemon Meringue Pie","6.5","5","1015","1066","7","4","4"
"5","Avery Brown Dredge","7.2","59","1027","1069","10","5","4.4"
"99","Hello My Name Is Päivi","8.3","70","1013","1076","30","15","4.4"
"209","Stereo Wolf Stout - Prototype Challenge","5.2","55","1014","1052","200","100","5.2"
"46","Anarchist Alchemist","16.5","20.5","1000","1112","20","10","4.4"
"194","Hardkogt IPA","7.6","175","1014","1072","40","20","4.4"
